Unnamed: 0,name,price
593,Xiaomi Redmi Note 14 Pro Plus,
594,vivo V30 Pro,
595,Google Pixel 4a,
596,Xperia 5 V,
597,Xiaomi Redmi Note 14 Pro Plus,
598,Tecno Pova 7 Neo,
599,Honor 80 Pro,
600,Motorola Edge 40,
601,Motorola Edge plus,
602,Oneplus Nord N300,
603,vivo Y200 Pro,
604,Huawei Pocket S,
605,OPPO PHF110,
606,Vivo X80 Pro Plus,
607,Vivo Y91,
608,realme 13,
609,Vivo Y85,
610,Tecno Spark 10C,
611,Oneplus Open,
612,Infinix Hot 50 Pro,
613,Vivo Y77,
614,Samsung A06 -,
615,Redmi K60 Ultra,
616,Vivo Y95,
617,vivo IQOO Neo 8,
618,Vivo Y77,
619,Redmi K60 Ultra,
620,Honor 90,
621,OnePlus Nord CE 4 Lite,
622,Oneplus 12,
623,Motorola Edge 40 Pro,
624,Realme GT Neo 6,
625,OPPO K11,
626,OPPO A56s,
627,Samsung A26 -,
628,TECNO Spark 50,
629,OPPO A2 Pro,
630,Masstel Izi 10,
631,Google Pixel 4 XL,
632,Honor Magic V2,
633,Vivo S17,
634,Vivo Y71,
635,Samsung Galaxy C55,
636,Xiaomi Redmi Note 12 Pro,
637,Vivo X100,
638,Lenovo Legion Y70,
639,Vivo Y97,
640,vivo S19 Pro,
641,Vivo iQOO Z7x,
642,Xiaomi Redmi Note 12 Pro,
643,Vivo V29,
644,Vivo Y27s,
645,Honor Magic V3,
646,Samsung Galaxy A06,
647,OPPO Reno9 Z,
648,vivo Y200i,
649,Blackview A95,
650,Xiaomi Redmi Note 14 Pro,
651,OPPO A1,
652,Nokia C12,
653,Sony Xperia X Compact,
654,Vivo iQOO Z6,
655,realme 12 Pro plus,
656,Huawei Enjoy 60 Pro,
657,realme 12 Pro plus,
658,Sony Xperia X Compact,
659,Huawei Enjoy 60 Pro,
660,Honor X50i,
661,Oneplus Nord CE2,
662,Masstel Tab 10 4,
663,Infinix Zero,
664,OPPO Reno12 F -,
665,Xiaomi Redmi Note 14 Pro,
666,POCO F6,
667,vivo Y200 GT,
668,Vivo Y30,
669,vivo T3x,
670,Doogee V30 Pro,
671,Xiaomi 14 Pro,
672,Samsung A36 -,
673,Sony Xperia 5 IV,
674,Huawei Nova 10 Pro,
675,Honor X5 Plus,
676,OnePlus Ace 3 Pro,
677,OnePlus V Fold,
678,Masstel Play 50,
679,Realme C55,
680,Realme 9i,
681,Realme V23,
682,Vivo S17e,
683,OPPO Reno9 Pro Plus,
684,Xiaomi Redmi 11 Prime,
685,Huawei P50 Pocket S,
686,OPPO A98,
687,Nokia Hero,
688,Doogee S100 Pro,
689,vivo Y22,
690,Xiaomi Redmi A4,
691,Xiaomi CIVI 3,
692,realme C67,
693,Xiaomi Redmi Note 13,
694,Infinix Hot 40,
695,Infinix Zero 30,
696,Motorola Moto G13,
697,Xiaomi POCO C51,
698,TCL 50SE,
699,Vivo Y77e,
700,Xiaomii 14 Lite,
701,Huawei Nova 9 SE,
702,Leitz Phone 2,
703,Xiaomi Redmi Note 13s,
704,Vivo iQOO 11s,
705,Samsung Galaxy F54,
706,TECNO Spark Go 3,
707,Honor 200,
708,Honor Play 30,
709,TECNO CAMON 20 Pro,
710,OnePlus Nord N20 SE,
711,Infinix Note 40,
712,vivo y78,
713,Vsmart Bee 5,1.590.000đ
714,Vivo iQOO Z7,
715,Vivo Y22T,
716,Samsung Galaxy F13,
717,Samsung Galaxy F13,
718,Vivo Y22T,
719,Vivo Y81,
720,TCL 505,
721,Xiaomi 14 Pro,
722,Honor 80,
723,Honor 70 Lite,
724,Honor Magic V,
725,masstel x6,
726,Masstel x1,
727,Masstel Tab 10A,
728,Motorola Moto G22,
729,Xiaomi 15,
730,Samsung Galaxy A35 -,
731,Black Shark 5S Pro,
732,vivo Y78,
733,Redmi Note 11R,
734,OPPO F27 Pro Plus,
735,Doogee V30T,
736,Lenovo ThinkPhone,
737,Samsung Galaxy A14,
738,Vivo X80 Lite,
739,Huawei Nova Y70 Plus,
740,Xiaomi Redmi K50S Pro,
741,Google Pixel 2 XL,
742,HONOR 600,
743,Tecno Spark 30 -,
744,TECNO CAMON 20 Premier,
745,Honor 90 Lite,
746,Honor X40i,
747,Honor X50i,
748,Honor X7a,
749,OnePlus Nord CE 2 Lite,
750,Masstel Izi 50,
751,Infinix Hot 20 Play,
752,masstel fami 60,
753,Vivo V29 Pro,
754,Samsung Galaxy F55,
755,Xiaomi Redmi Note 11SE,
756,Nokia T10,
757,Vivo X Fold Plus,
758,OPPO F27 Pro,
759,Xiaomi Redmi Note 13 Pro,
760,HTC U23 Pro,
761,POCO M6 Plus,
762,Vivo iQOO 9T,
763,Xiaomi 14T,
764,Samsung A26 -,
765,Oppo Reno8,
766,Samsung Galaxy F04s,
767,Xiaomi 14T,
768,vivo Y38,
769,ZTE Axon 30S,
770,Redmi 11A,
771,Realme Narzo N53,
772,Xiaomi Redmi 14,
773,Tecno Camon 40S,
774,Honor Play 40C,
775,Honor Play 7T Pro,
776,Honor 80 Pro Plus,
777,Masstel Izi 10,
778,Masstel Izi 25,
779,masstel izi 20,
780,Masstel Izi 55,
781,Masstel Hapi 15,
782,Xiaomi Redmi Note 13 Pro Plus,
783,Xiaomi 14 Lite,
784,OPPO A57e,
785,Xiaomi POCO C55,
786,Huawei Nova 11 SE,
787,vivo y12,
788,OPPO K11x,
789,OPPO Find X7,
790,vivo X Fold2,
791,Xiaomi POCO C50,
792,vivo Y18e,
793,Xiaomi 14 Civi,
794,Vivo Y35 plus,
795,Samsung Galaxy F34,
796,Huawei Nova 10z,
797,Masstel Izi 10,
798,Masstel Izi 25,
799,masstel izi 20,
