name;price;display_size;display_tech;back_cam;front_cam;CPU;RAM;storage_cap;battery;resolution;screen_func;os;refresh_rate;GPU;waterproof;max_charging
samsung galaxy a56;8990000.0;6.7 inches;Super AMOLED;50.0 MP, F/1.8  + 12.0 MP, F/2.2  + 5.0 MP, F/2.4;12.0 MP, F/2.2;Exynos 1580;8 GB;128 GB;5000 mAh;1080 x 2340 pixels (FullHD+);16 triệu màu, 120 Hz, 1200 nit, kính cường lực Corning Gorilla Glass Victus+;Android;120 Hz;AMD Ariel 2WGP-1RB 1.3GHz;IP67;45 W
meizu mblu 22 pro nfc;2990000.0;6.79 inches;TFT LCD;50 MP, AF f/1.8Camera macro: 2 MP,  f/2.4;5 MP, f/2.0;MediaTek Helio G81;6 GB;256 GB;5000 mAh;720 x 1640 pixels;;Android 15;;;;
samsung galaxy s25 fe;14050000.0;6.7 inches;Dynamic AMOLED 2X;50MP, f/1.8 góc rộng12MP, f/2.2 góc siêu rộng8MP, f/2.4 Tele;12MP, f/2.2;Exynos 2400;8 GB;128 GB;4900 mAh;1080 x 2340 pixels (FullHD+);Độ sáng tối đa 1900 nitsGorilla® Victus+16 triệu màu;Android 16, One UI 8;;Đang cập nhật;IP68;45 W
xiaomi 15t;13990000.0;6.83 inches;AMOLED;Chính: 50MP (23mm, f/1.7, OIS, Light Fusion 800)Tele: 50MP (46mm, f/1.9)Góc siêu rộng: 12MP (15mm, f/2.2, 120° FOV);32MP, f/2.2, tiêu cự 21mm;MediaTek Dimensity 8400-Ultra;12 GB;512 GB;5500mAh;Đang cập nhật;Độ sáng tối đa 3200 nits (25% vùng hiển thị)68 tỷ màuDCI-P3Chứng nhận TÜV Rheinland (Low Blue Light, Flicker Free, Circadian Friendly);Xiaomi HyperOS 2, tích hợp Xiaomi HyperAI & Google Gemini;120 Hz;Mali-G720;IP68;67 W
oppo find x9;0.0;6.59 inches;AMOLED;50MP OIS (Chính) + 50MP OIS (Tele) + 50MP (Góc rộng) + 2MP (Mono);32MP f/2.4;Dimensity 9500 5G;12 GB;256 GB;7025mAh (Typ);1256 x 2760 pixels;Tần số quét 120Hz, Cảm ứng 240Hz, 1.07 tỷ màu (10-bit), 100% DCI-P3, Độ sáng 1800nits;ColorOS 16.0;120;ARM Mali Drage MC12;IP66, IP68, IP69;80 W
iphone 16;20790000.0;6.1 inches;Super Retina XDR OLED;Camera chính: 48MP, f/1.6, 26mm, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao Camera góc siêu rộng: 12MP, ƒ/2.2, 13 mm, Focus Pixels 100%, Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x;;;;;;;;;;;;
nubia neo 3;4090000.0;6.8 inches;;50MP + 2MP;16MP;Unisoc T8100;8 GB;128 GB;6000mAh;;Độ phân giải màn hình: 900 x 2030 pixel (FHD)Tần số: 120HzĐộ sáng: 530 nits16.7 tỷ màuIPS;;;;;
iphone 14;13890000.0;6.1 inches;OLED;Camera góc rộng: 12MP, ƒ/1.5Camera góc siêu rộng: 12MP, ƒ/2.4;12MP, ƒ/1.9;Apple A15 Bionic 6 nhân;6 GB;128 GB;3,279mAh;2532 x 1170 pixels;Tần số quét 60Hz, 1200 nits, Kính cường lực Ceramic Shield,  Super Retina XDR;iOS 16;60 Hz;Apple GPU 5 nhân;IP68;20 W
iphone 14 pro max;25590000.0;6.7 inches;Super Retina XDR OLED;Camera chính: 48 MP, f/1.8, 24mm, 1.22µm, PDAF, OIS  Camera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚, 1.4µm, PDAF  Camera tele: 12 MP, f/2.8, 77mm (telephoto), PDAF, OIS, 3x optical zoom  Cảm biến độ sâu TOF 3D LiDAR;"Camera selfie: 12 MP, f/1.9, 23mm, 1/3.6"", PDAF";Apple A16 Bionic 6-core;6 GB;128 GB;4.323 mAh;2796 x 1290-pixel;120Hz, Always-On display, HDR, True Tone, Haptic Touch, 2,000,000:1, 2000 nits;iOS 16;;;;
samsung galaxy a36;7490000.0;6.7 inches;Super AMOLED;50.0 MP, F/1.8  + 8.0 MP, F/2.2  + 5.0 MP,  F/2.4;12.0 MP, F/2.2;Snapdragon 6 Gen 3;8 GB;128 GB;5000 mAh;1080 x 2340 pixels (FullHD+);16 triệu màu, 120 Hz, 1.200 nit, kính cường lực Corning Gorilla Glass Victus+;Android;;Adreno 710;IP67;45 W
samsung galaxy s24 plus;16290000.0;6.7 inches;Dynamic AMOLED 2X;Camera chính góc rộng: 50 MP, f/1.8, Dual Pixel PDAF, OISCamera tele: 10 MP, f/2.4, PDAF, OIS, zoom quang học 3xCamera góc siêu rộng: 12 MP, f/2.2, 120˚;12 MP, f/2.2;Exynos 2400;12 GB;256 GB;4,900mAh;3120 x 1440 pixels (Quad HD+);120Hz, Độ sáng tối đa 2600 nits, Corning® Gorilla® Glass Victus® 2, 16 triệu màu;Android 14, One UI 6.1;;;;
nubia v80 design;0.0;6.75 inches;IPS LCD;50 MP + 2 MP + 0.08 MP;16 MP;Unisoc T7280;8 GB;128 GB;5000 mAh;;Tần số quét 120Hz;;;;;
xiaomi poco x7 pro;9090000.0;6.67 inches;AMOLED;50MP;Chính 50 MP & Phụ 8 MP;Dimensity 8400-Ultra;12 GB;256 GB;6000 mAh;1220 x 2712 pixels;3200 nits, Tần số quét 120Hz, Dolby Vison;Android 14;;Mali-G720;IP68;90 W
nubia v80 max;0.0;6.9 inches;IPS LCD;50 MP + 2 MP + 0.08 MP;16 MP;Unisoc T7250;8 GB;256 GB;6000 mAh;729 x 1640 Pixels;Tần số quét 120Hz;Android;120;;IP64;
