name;price;display_size;display_tech;back_cam;front_cam;CPU;RAM;storage_cap;battery;resolution;screen_func;os;refresh_rate;GPU;waterproof;max_charging
honor x8d;7790000.0;6.77 inches;AMOLED;Camera chính 108MP (f/1.75) + Camera rộng 5MP (f/2.2);16MP (f/2.45);Snapdragon 6s 4G thế hệ 2;8 GB;128 GB;6800mAh (giá trị định mức), 7000 mAh (giá trị điển hình);1080 x 2392 pixels;Màu sắc: 1,07 tỷ màuCông nghệ Eye Comfort800 nit (điển hình) 1300 nit (loại HBM) 3000 nit (loại APL)Chất liệu kính Thủy tinh Aluminosilicate;MagicOS 10 (Dựa trên Android 16);120 Hz;Adreno 610;IP65;45 W
samsung galaxy a26;6470000.0;6.7 inches;Super AMOLED;50MP + 8MP + 2MP;13MP;Exynos 1380 (Quartz);8 GB;128 GB;5000 mAh;1080 x 2340 pixels (FullHD+);Tần số quét 120Hz, 800 nits, Mặt kính Gorilla Glass Victus;Android 15;120 Hz;Mali-G68;IP67;25 W
xiaomi redmi note 14;4290000.0;6.67 inches;AMOLED;Hệ thống camera AI 108MP  Camera đo chiều sâu 2MP - f/2.4 Camera cận cảnh 2MP - f/2.4;Camera trước 20MP - f/2.2;MediaTek Helio G99-Ultra;6 GB;128 GB;5500mAh;1080 x 2400 pixels (FullHD+);Tốc độ làm mới: Lên đến 120Hz Độ sáng: 1800 nits đỉnh Tỷ lệ tương phản: 5.000.000:1;Android 14;120 Hz;Mali-G57 MC2;IP54;33 W
iphone 13;12290000.0;6.1 inches;Super Retina XDR OLED;Camera góc rộng: 12MP, f/1.6  Camera góc siêu rộng: 12MP, ƒ/2.4;12MP, f/2.2;Apple A15;4 GB;128 GB;3240mAh;2532 x 1170 pixels;Màn hình super Retina XDR, OLED, 460 ppi, HDR display, công nghệ True Tone Wide color (P3), Haptic Touch, Lớp phủ oleophobic chống bám vân tay;iOS 15;;Apple GPU 4 nhân;IP68;20 W
samsung galaxy a07;3190000.0;6.7 inches;IPS LCD;Chính 50 MPPhụ 2 MP;8 MP;MediaTek Helio G99;4 GB;128 GB;Li-Ion 5000 mAh;720 x 1600 pixel;Độ sáng tối đa 480 nitsKính cường lực Panda;Android 15;90 Hz;Adreno 830;IP54;25 W
iphone 16 plus;24790000.0;6.7 inches;Super Retina XDR OLED;Camera chính: 48MP, f/1.6, 26mm, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao Camera góc siêu rộng: 12MP, ƒ/2.2, 13 mm, Focus Pixels 100%, Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x;;;;;;;;;;;;
xiaomi 15t pro;0.0;6.83 inches;AMOLED;Chính: 50MP, f/1.62, OIS, cảm biến Light Fusion 900Tele: 50MP, f/3.0, OIS, Samsung JN5, Zoom 5x, 10x lossless, Ultra Zoom 20xSiêu rộng: 12MP, f/2.2, 120° FOV;32MP, f/2.2, tiêu cự 21mm;MediaTek Dimensity 9400+;12 GB;512 GB;5500mAh;2772 x 1280 pixels;Độ sáng tối đa 3200 nits, 447ppi, 68 tỷ màu, DCI-P3, HDR10+, Dolby Vision®, DC dimming, TÜV Rheinland;Xiaomi HyperOS 2;144 Hz;ARM Immortalis-G925;IP68;90 W
xiaomi 17 ultra;36990000.0;6.9 inches;LTPO AMOLED;Camera chính: 200 MPGóc siêu rộng: 50 MP;50 MP;Qualcomm Snapdragon 8 Elite Gen 5;16 GB;512 GB;6000 mAh;2608 x 1200 Pixels;Độ phân giải màn hình: 2608 × 1200 pixelsĐộ sáng tối đa 3500 nits;Android 16 với HyperOS;120 Hz;Adreno 830;IP68;90 W
oppo find n5;44180000.0;8.12 inches;AMOLED;50MP, ƒ/1.8 OIS (Chính) + 8MP, ƒ/2.2 (Góc rộng) + 50MP, ƒ/2.7 (Tele);Màn hình chính: 8MP, ƒ/2.4Màn hình ngoài: 8MP, ƒ/2.4;Qualcomm Snapdragon® 8 Elite;16 GB;512 GB;5600mAh;2.480 x 2.248 pixels;Tần số: 120HzMàn hình chính: Kính Pet+UTG, 1400nitMàn hình ngoài: 6.62 inch, 1140 x 2616 (FHD+), kính siêu mỏng Nanocrytal, 1600nit1 tỷ màu sắc;ColorOS 15, nền tảng Android 15;120 Hz;Adreno 830;;
oppo reno10 pro+;10490000.0;6.74 inches;AMOLED;Camera góc rộng: 50 MPKính tiềm vọng: 64 MP, PDAF, 5x optical zoomCamera góc siêu rộng: 8 MP, f/2.2;Camera góc rộng: 32 MP, f/2.4;Snapdragon 8 plus Gen 1 8 nhân;12 GB;256 GB;4700 mAh;1240 x 2772 pixels;1 tỷ màu, tần số quét 120Hz, HDR10+, 1100 nits, Kính cường lực AGC DT-Star2;Android 13;;;;
xiaomi redmi note 14 pro plus;7990000.0;6.67 inches;AMOLED;Chính 200MP, OIS - f/1.65  Góc siêu rộng 8MP - f/2.2 Macro 2MP - f/2.4;Camera trước - f/2.2;Snapdragon® 7s Gen 3;8 GB;256 GB;5110 mAh;2712 x 1220 pixels;Tần số quét: Lên đến 120Hz  Độ sáng: 3000 nits   Độ sâu màu: 12-bit  Tỷ lệ tương phản: 5,000,000:1;Android 14;120 Hz;Qualcomm Adreno;IP68;
honor x9c;7290000.0;6.78 inches;AMOLED;Camera chính 108MP (F1.75), OIS + Camera góc rộng 5MP (F2.2);16MP (F2.45);Qualcomm Snapdragon 6 Gen 1;12 GB;256 GB;6600mAh, 66W (120V/3.3A);1224 x 2700 Pixels;2700*1224 Pixels1,07 tỷ màu1.5 K độ phân giải4000nit100% DCI-P3;MagicOS 8.0, dựa trên Android 14;120 Hz;Adreno 710;IP65M;
xiaomi poco f8 pro;14890000.0;6.59 inches;AMOLED;"50MP chính (Light Fusion 800, 1/1.55"", f/1.88, OIS, 6P) + 50MP tele 60mm (f/2.2) + 8MP góc siêu rộng (f/2.2)";20MP;Snapdragon® 8 Elite;12 GB;256 GB;6210mAh;2510 x 1156 pixels;Độ sáng tối đa 3500 nitsTỷ lệ tương phản 5.000.000:1Độ sáng HBM 2000 nits68 tỷ màu | Dải màu rộng DCI-P3Cảm ứng kháng nước 2.0Chứng nhận TUV (ánh sáng xanh thấp, chống nhấp nháy, nhịp sinh học);Xiaomi HyperOS 3;120 Hz;Adreno 830;IP68;
oppo find x9 pro;0.0;6.78 inches;AMOLED;50MP OIS (Chính) + 200MP OIS (Tele) + 50MP (Góc rộng) + 2MP (Mono);50MP;;;;;;;;;;;
oppo a6 pro;0.0;6.57 inches;AMOLED;50MP (Chính, f/1.8) + 2MP (Mono, f/2.4), có đèn flash;16MP, f/2.4;MediaTek Helio G100, tối đa 2.2GHz;8 GB;256 GB;7000mAh;1080 x 2372 pixels (FullHD+);1 tỷ màu, Độ sáng tối đa 1400 nits;ColorOS 15 (Android 15);120 Hz;Mali-G57 MC2;IP66, IP68, IP69;80 W
honor x9d;11490000.0;6.79 inches;AMOLED;Camera chính 108MP (F1.75) + Camera góc rộng 5MP (F2.2);16MP (F2.45);Snapdragon 6 Gen 4;12 GB;512 GB;8300 mAh;1200 x 2640 pixels;100% DCI-P3, 1,07 tỷ màu800 nits (điển hình), 1800 nits (chế độ HBM), 6000 nits (chế độ APL)Bảo vệ mắtMàn hình ban đêm sinh họcGiảm độ sáng độngKhử nháy sáng PWM 3840Hz;MagicOS 9.0 (Dựa trên Android 15）;120;Adreno 810;IP69K;66 W
samsung galaxy s24 ultra;25290000.0;6.8 inches;Dynamic AMOLED 2X;Camera chính: 200MP, Laser AF, OIS Camera: 50MP,  PDAF, OIS, zoom quang học 5xCamera tele: 10MPCamera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚;12 MP, f/2.2;Snapdragon 8 Gen 3 For Galaxy;12 GB;256 GB;5,000mAh;1440 x 3120 pixels;Độ sáng cao nhất 2,600 nits, 120Hz, Corning® Gorilla® Armor®, 16 triệu màu;Android 14, One UI 6.1;;Adreno 750;IP68;45 W
xiaomi redmi note 15 pro;0.0;6.77 inches;AMOLED;200MP (chính) + 8MP (siêu rộng);32MP;MediaTek Helio G200-Ultra;12 GB;256 GB;6500mAh;1080 x 2392 pixels;Độ sáng tối đa 3200 nits, 12-bit, DCI-P3, PWM 3840Hz, TÜV Rheinland;Xiaomi HyperOS 2;120;Mali-G615;IP69K;45 W
samsung galaxy s25;18490000.0;6.2 inches;Dynamic AMOLED 2X;Camera siêu rộng 12MP  Camera góc rộng 50MPCamera Tele 10MP;12MP;Snapdragon 8 Elite dành cho Galaxy (3nm);12 GB;256 GB;4000 mAh;2340 x 1080-pixel;120Hz2600 nitsCorning® Gorilla® Armor 2;Android;120 Hz;Adreno 830;IP68;25 W
samsung galaxy a06;2950000.0;6.7 inches;PLS LCD;50.0 MP, f/1.8 2.0 MP, f/2.4;8.0 MP, f/2.0;Mali-G57;4 GB;128 GB;5000 mAh;720 x 1600 pixel;16 triệu màu, 60Hz,  576 nits;Android;;Mali-G57;IP54;25 W
iphone 14 pro;22990000.0;6.1 inches;Super Retina XDR OLED;Camera chính: 48 MP, f/1.8, 24mm, OIS  Camera góc siêu rộng: 12 MP, f/2.2, 120˚, 1.4µm Camera tele: 12 MP, f/2.8, PDAF, OIS, 3x optical zoom  Cảm biến độ sâu TOF 3D LiDAR;Camera selfie: 12 MP, f/1.9, 23mm, PDAF;Apple A16 Bionic 6 nhân;6 GB;128 GB;3200 mAh;2556 x 1179 pixels;Công nghệ ProMotion với tần số quét 120HzTỷ lệ tương phản 2.000.000: 1Độ sáng tối đa: 2.000 nits (ngoài trời);iOS 16;;;;
tecno spark 40 pro+;4890000.0;6.78 inches;AMOLED;50 MP;13 MP;MediaTek Helio G200;8 GB;256 GB;5200mAh, 45W;;1224 x 2720 pixels6.78'' 144Hz & 1.5K 3D AMOLED Display;Android 15;;;;
zte nubia z60s pro;10990000.0;6.78 inches;AMOLED;Camera chính: 50MP, f/1.56Camera Tele: 8MP, f/2.4Camera góc siêu rộng: 50MP;16MP, f/2.45;Snapdragon 8 Gen 2 (4 nm);16 GB;512 GB;5100 mAh;2160 x 1440 pixels;Tần số quét 120 Hz, 1200 nits, 452PPI, 100% DCI-P3, 1,07 tỷ màu sắc;Android 14;;;;
xiaomi 15 ultra;26990000.0;6.73 inches;AMOLED;Camera chính Leica: 50MP, ƒ/1.63, OIS Camera tele Leica: 50MP, ƒ/1.8, OIS Camera siêu tele Leica: 200MP, ƒ/2.6, OIS Camera góc siêu rộng Leica: 50MP, ƒ/2.2, 115° FOV;Camera trước: 32MP, ƒ/2.0, 90° FOV Cảm biến OV32B Tiêu cự 21mm;Snapdragon 8 Elite (Tiến trình sản xuất 3nm);16 GB;512 GB;5410mAh;3200 x 1440 pixel;68 tỷ màuTần số quét 1-120HzTốc độ phản hồi cảm ứng 300HzĐộ sáng tối đa 3200 nits trong nhiều tình huống Điều chỉnh độ sáng PWM 1920Hz/DC dimmingOriginal color PRO | Pro HDR | Công nghệ cảm ứng khi ướtHDR10+, Dolby Vision;Xiaomi HyperOS 2;;;;
honor 400 pro;14990000.0;6.7 inches;AMOLED;Camera chính AI siêu nét 200MP (f/1.9, OIS) + 50MP Camera Tele (f/2.4 , OIS) + 12MP Camera Góc Siêu Rộng (f/2.2);50MP (khẩu độ f/2.0);Snapdragon 8 Gen 3;12 GB;512 GB;6000 mAh;2800 x 1280 pixels;1.07 tỷ màu;MagicOS 9.0 (Android 15);120 Hz;Adreno 750;IP69;
nubia z70 ultra;16990000.0;6.85 inches;AMOLED;50MP+64MP+50MP;16MP;Snapdragon 8 Elite (3 nm);12 GB;256 GB;6150 mAh;;Độ phân giải màn hình: 2688 x 1216 pixelsTần số 144Hz;Android 15;;;;
xiaomi redmi 15;6190000.0;6.9 inches;IPS LCD;50MP, Ống kính -5P, f/1.8;8MP f/2.05;Snapdragon® 6s Gen 3;8 GB;256 GB;7000mAh;2340 x 1080-pixel;Độ sáng 700 nits850 nits (HBM)Tỉ lệ tương phản 1400:1Cảm ứng 288HzĐạt chứng nhận TÜV Rheinland: Giảm ánh sáng xanh, Không nhấp nháy, Thân thiện nhịp sinh học;Xiaomi HyperOS 2;144;Adreno 619;IP64;33 W
xiaomi redmi 15c nfc;3390000.0;6.9 inches;LCD;50MP, Ống kính -5P, f/1.8;8MP f/2.0;MediaTek Helio G81-Ultra;4 GB;128 GB;6000mAh;1600 x 720 pixels (HD+);Độ sáng 660 nits810 nits (HBM)Tỉ lệ tương phản 1200:1Cảm ứng 240HzĐạt chứng nhận TÜV Rheinland: Giảm ánh sáng xanh, Không nhấp nháy, Thân thiện nhịp sinh họcHỗ trợ DC Dimming giảm nhấp nháy;Xiaomi HyperOS 2;;;;
honor 400;11990000.0;6.55 inches;AMOLED;Camera chính AI 200MP (f/1.9, OIS) + 12MP Camera Góc Siêu Rộng (f/2.2);50MP (f/2.0);Snapdragon 7 Gen 3;12 GB;256 GB;6000 mAh (Li-Po, công nghệ Pin Silicon-Carbon);2736 × 1264 pixels;1.07 tỷ màu;MagicOS 9.0 (dựa trên Android 15);120 Hz;Adreno 720;IP66;80 W
oppo reno12;8990000.0;6.7 inches;AMOLED;50MP + OIS  Camera góc rộng: 8MP Camera xóa phông: 2MP;32MP;MediaTek Dimensity 7300;12 GB;256 GB;5000mAh;;Tần số quét 120Hz;Android 14;;;;
xiaomi redmi note 13 pro;4990000.0;6.67 inches;AMOLED;Chính 200 MP & Phụ 8 MP, 2 MP;16 MP;MediaTek Helio G99-Ultra 8 nhân;8 GB;256 GB;5000 mAh;1080 x 2400 pixels (FullHD+);Tần số quét 120Hz1300 nitsKính cường lực Corning Gorilla Glass 5;Android 13;;;;
meizu lucky 08;5490000.0;6.78 inches;AMOLED;108MP, ƒ/1.67 + 2MP, ƒ/2.4;8MP, ƒ/2.0;Snapdragon 7s Gen 2;12 GB;256 GB;6000mAh;2780 × 1264 pixel;Tần số lên đến 144Hz, Tỷ lệ tương phản 8000000:1, 450 PPI, 5000nits, 100% DCI-P3;Android 14;;;;
samsung galaxy s25 plus;22700000.0;6.7 inches;Dynamic AMOLED 2X;Camera siêu rộng 12MP  Camera góc rộng 50MPCamera Tele 10MP;12MP;Snapdragon 8 Elite dành cho Galaxy (3nm);12 GB;256 GB;4900 mAh;3120 x 1440 pixels (Quad HD+);120Hz2600 nitsCorning® Gorilla® Armor 2;Android;120 Hz;Adreno 830;IP68;45 W
samsung galaxy s26 plus;29490000.0;6.7 inches;Dynamic AMOLED 2X;Camera siêu rộng: 12MPCamera góc rộng: 50MPCamera Tele: 10MP;12MP;Exynos 2600 (2nm);12 GB;512 GB;4900 mAh;3120 x 1440 pixels (Quad HD+);Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits;Android;120 Hz;Adreno 830;IP68;
xiaomi 15;19490000.0;6.36 inches;CrystalRes AMOLED;Camera chính Leica: 50MP, ƒ/1.62, OIS, Tiêu cự tương đương 23mmCamera tele Leica: 50MP, ƒ/2.0, OISCamera góc siêu rộng Leica: 50MP, ƒ/2.2, 115°;Camera trước: 32MP, ƒ/2.0, 90°,  Tiêu cự 21mm;Snapdragon 8 Elite (Tiến trình sản xuất 3nm);12 GB;512 GB;5240 mAh;2670 x 1200 pixels;Độ sáng 3200 nitsTự động tinh chỉnh tần số quét 1-120Hz Tốc độ phản hồi cảm ứng lên đến 300HzHỗ trợ 68 tỷ màuDải màu DCI-P3Hỗ trợ Dolby Vision, HDR10+, HDR10Độ sáng DCCông nghệ cảm ứng ướt;Xiaomi HyperOS 2;;;;
huawei mate x7;0.0;8.0 inches;OLED;Camera chính Ultra Lighting HDR 50MP (OIS, khẩu độ F1.49 - F4.0)Camera góc siêu rộng 40MPCamera telephoto macro 50MP (OIS);Khi gập lại: Camera 8 MP (khẩu độ F2.4)Khi mở ra: Camera 8 MP (khẩu độ F2.2);;16 GB;512 GB;5600 mAh;;Màn hình: 1.07 tỷ màu, gam màu rộng P3Màn hình chính: 2416 × 2210 pixelMàn hình ngoài: 2444 × 1080 pixelTốc độ làm mới thích ứng LTPO 1-120 Hz, thay đổi cường độ sáng PWM tần số cao 1440 HzMật độ điểm ảnh 412 PPI;EMUI 15.0;;;;
nothing phone 2a plus;7990000.0;6.7 inches;Flexible AMOLED On-cell;"Camera chính: 50 MP, f/1.88, 1/1.57""Camera góc siêu rộng: 50 MP, f/2.2, 1/2.76""";"50 MP, f/2.2, 1/2.76""";MediaTek Dimensity 7350 Pro 5G;12 GB;256 GB;5000 mAh;1080 x 2412 pixels;1300 nits120 Hz, 1,07 tỷ màu;Android 14;;;;
oppo reno12 f;7120000.0;6.7 inches;AMOLED;50MP  Camera góc rộng: 8MP Camera xóa phông: 2MP;32MP;MediaTek Dimensity 6300;8 GB;256 GB;5000 mAh;1080 x 2040 Pixel;Tần số quét 120Hz;Android 14;120 Hz;Mali-G57 MC2;IP64;
oppo reno14;15500000.0;6.59 inches;AMOLED;Chính 50MP OIS, F/1.8Tele 50MP OIS, F/2.8Góc rộng 8MP, F/2.2;50MP, F/2.0;MediaTek Dimensity 8350 5G, tối đa 3.35GHz;12 GB;256 GB;6000mAh;1256 x 2760 pixels;Tần số quét 120Hz, độ sáng 1200 nits, kính GG7i;ColorOS 15, Android 15;120 Hz;Mali-G615 MC6;IP66, IP68, IP69;80 W
xiaomi poco x7;8490000.0;6.67 inches;AMOLED;Camera chính: 50MP, f/1.5Camera góc siêu rộng: 8MP, f/2.2Camera macro: 2MP, f/2.4;20MP, f/2.2;Powerful Dimensity 7300-Ultra;12 GB;512 GB;5110mAh;2712 x 1220 pixels;Tần số quét: 120Hz, 500 nits, Độ sâu màu: 12bit, Tỷ lệ tương phản: 5.000.000:1, DCI-P3, Kính Corning® Gorilla® Victus® 2, Dolby Vision, HDR10+;Xiaomi HyperOS;120 Hz;Mali-G615 MC2;IP68;
sony xperia 1 vii;27090000.0;6.5 inches;OLED;Chính 52MP, f/1.9Tele 12MP, f/2.3–f/3.5Góc siêu rộng 50MP, f/2.0;12MP, f/2.0;Snapdragon® 8 Elite;12 GB;256 GB;5.000 mAh;1080 x 2340 pixels (FullHD+);DCI-P3 100%, BT.2020, 10-bit, cảm biến ánh sáng trước/sau;Android 15;;;;
tecno pova 7;4490000.0;6.78 inches;IPS LCD;108M+2M;8MP;MediaTek Helio G100 Utimate;8 GB;128 GB;7000mAh;1080x2460 pixels;Tần số quét 120Hz, FHD+, Độ sáng tối đa 900nits;Android 15;120 Hz;Mali-G57;IP64;45 W
iphone 11;0.0;6.1 inches;IPS LCD;Camera kép 12MP:- Camera góc rộng: ƒ/1.8 aperture- Camera siêu rộng: ƒ/2.4 aperture;12 MP, ƒ/2.2 aperture;A13 Bionic;4 GB;128 GB;3110 mAh;1792 x 828 pixel;True-tone;iOS 13 hoặc cao hơn (Tùy vào phiên bản phát hành);;;;
samsung galaxy a16 lte;3490000.0;6.7 inches;Super AMOLED;Camera góc rộng: 50MPCamera góc siêu rộng: 5MP Camera Macro: 2MP  Khẩu độ (Đa khẩu độ): F1.8 , F2.2 , F2.4;13MP;MediaTek Helio G99;4 GB;128 GB;5,000mAh;1080 x 2340 pixels (FullHD+);90Hz;Android 15;;;;
nubia neo 2;4290000.0;6.72 inches;IPS LCD;Camera góc rộng: 50 MP, f/1.8, PDAFCamera đo độ sâu: 2 MP, f/2.4;16MP;Unisoc T820 (6 nm);8 GB;256 GB;6000mAh;1080 x 2400 pixels (FullHD+);Corning Gorilla Glass, 400 ppiTần số quét 120Hz;Android 13;;;;
samsung galaxy z fold 6;29990000.0;7.6 inches;Dynamic AMOLED 2X;Camera góc rộng: 50.0 MP, f/1.8, Thu phóng quang học 2x  Camera chụp góc siêu rộng: 12.0 MP, f/2.2   Camera ống kính tele: 10.0 MP, f/2.4, Thu phóng Quang học 3x;Camera bên ngoài:10 MP, f/2.2 Camera bên trong: 4 MP, F1.8;Snapdragon 8 Gen 3 for Galaxy Tăng lên 42% AI;12 GB;256 GB;4400 mAh;2160 x 1856 (QXGA+);"Màn hình chính: 7.6"", Dynamic AMOLED 2X, 120Hz, độ sâu màu sắc 16M, 2600nitsMàn hình phụ: 6.3"", 968 x 2376 (HD+), Dynamic AMOLED 2XKính cường lực Corning® Gorilla® Glass Victus® 2";Android;;;;
meizu mblu note 21 pro nfc;0.0;6.78 inches;IPS LCD;64 MP + 2 MP;13 MP;Mediatek Helio G99 (6 nm);8 GB;256 GB;5000mAh;1080 x 2400 pixels (FullHD+);Mật độ điểm ảnh 388ppi, tần số quét 120Hz, độ sáng tối đa 550 nits;Android 14, Flyme AIOS;;;;
oppo a58;4500000.0;6.72 inches;IPS LCD;Cảm biến chính 50MP  Cảm biến độ sâu 2MP;8MP;MediaTek Helio G85 8 nhân;8 GB;128 GB;5,000mAh;1080 x 2412 pixels;Tần số quét 60 Hz680 nits, Kính cường lực Panda;Android 13;60 Hz;Mali-G52 MP2;IP54;
honor magic v5;41990000.0;6.43 inches;OLED;Camera góc siêu rộng 50MP (khẩu độ f/2.0)Camera góc rộng 50MP (khẩu độ f/1.6, OIS)Camera tele 64MP (khẩu độ f/2.5, OIS);Màn hình trong: Camera góc rộng 20MP (f/2.2)Màn hình ngoài: Camera góc rộng 20MP (f/2.2);Qualcomm Snapdragon 8 Elite;16 GB;512 GB;5820 mAh;Chính: 2172 x 2352 Pixels & Phụ: 1060 x 2376 Pixels;Màn hình trong: 2352 x 2172 pixelMàn hình ngoài: 2376 x 1060 pixel1,07 tỷ màu, Màn hình chăm sóc mắt cận thị AI, tần số 4320Hz PWM giảm nháy sáng, Điều chỉnh độ sáng động, Màn hình đêm theo nhịp sinh học, Màn hình tông màu tự nhiên;MagicOS 9.0.1 (Dựa trên Android 15);;Adreno 830;IP58 & IP59;66 W
oppo a3;4500000.0;6.67 inches;LCD;50MP, Khẩu độ F/1.8;5 MP, Khẩu độ F/2.2;Snapdragon 6s 4G Gen1, tối đa 2.1GHz;6 GB;128 GB;5100mAh;720 x 1604 (HD+);16 triệu màu, 90Hz, Kính cường lực Panda, độ sáng 1000 nit;ColorOS 14, nền tảng Android 14;90 Hz;Adreno 610;IP54;45 W
xiaomi redmi note 13;3790000.0;6.67 inches;AMOLED;Chính 108 MP & Phụ 8 MP, 2 MP;16MP;Snapdragon 685;6 GB;128 GB;5000 mAh;1080 x 2400 pixels (FullHD+);Tần số quét 120Hz;Android 13;;;;
oppo reno13 f;8990000.0;6.67 inches;AMOLED;Camera chính: 50MP OIS,  F/1.8 Camera góc rộng: 8MP,  F/2.2 Camera Marco: 2MP, F/2.4;32MP, F/2.4;Qualcomm Snapdragon 6 Gen1 5G, tối đa 2.2GHz;12 GB;256 GB;5800mAh (Typ);1080 x 2400 pixels (FullHD+);120Hz, Kính cường lực AGC DT Star2, 1200 nits, 16 triệu màu;ColorOS 15, nền tảng Android 15;120 Hz;ARM Mali G57;IP66, IP68, IP69;45 W
nothing phone 3a;8790000.0;6.77 inches;AMOLED;Camera chính: 50MP, F1.88Camera góc siêu rộng: 8MP, F2.2Camera Tele: 50MP, F2.0;32MP, F2.2;Qualcomm SM7635 Snapdragon 7s Gen 3;8 GB;128 GB;5000mAh;1080 x 2392 pixels;120Hz, NTSC 105%, 387 ppi, 3000nit, 1.07 tỷ màu, DCI-P3 100%, HDR10+;Nothing OS 3.1 (Based on Android 15);;;;
oppo a5i pro;0.0;6.67 inches;LCD;50MP (Chính) Khẩu độ F/1.82MP (Mono) Khẩu độ F/2.4;5 MP Khẩu độ F/2.2;Snapdragon 6s 4G Gen1, tối đa 2.1GHz;8 GB;128 GB;6000mAh;720 x 1604 (HD+);720 x 1604 (HD+), 16 triệu màu, độ sáng tối đa 1000 nits;ColorOS 15 (nền tảng Android 15);90 Hz;Adreno 610;IP65;45 W
tecno camon 40 pro;5590000.0;6.78 inches;AMOLED;50MP, ƒ/1.8Góc siêu rộng 8MP;50MP;Mediatek Helio G100 Ultimate;8 GB;256 GB;5200mAh;1080 x 2436 Pixels;Màn hình cong đôiFHD+Tần số quét 120HzĐộ sáng màn hình 1300 nitsHDR;Android 15;120 Hz;Mali-G57 MC2;IP68, IP69;
honor x7d;5890000.0;6.77 inches;TFT LCD;108 MP, f/1.8 + 2MP;8MP, f/2.0;Qualcomm Snapdragon 685;8 GB;256 GB;6500 mAh;720 x 1610 Pixels;Độ phân giải HD+ (720 × 1.610 px), 120 Hz;Android 15, MagicOS 9.0;120 Hz;Adreno 610;IP65;35 W
oppo a79;7060000.0;6.72 inches;;Camera chính: 50MP;;;;;;;;;;;;
oppo find x5 pro;12990000.0;6.7 inches;AMOLED;Camera chính: 50MP, f/1.7  Camera góc rộng: 50MP, f/2.2;;;;;;;;;;;;
tecno spark 30 pro transformer;3990000.0;6.78 inches;AMOLED;108MP, f/1.75;13MP;MediaTek Helio G100;8 GB;256 GB;5000 mAh;;120Hz, 1700 nits;Android 14;;;;
masstel s7;1990000.0;6.745 inches;IPS LCD;13.0 MP, ƒ/2.0;5.0 MP, ƒ/2.0;Unisoc SC9863A;4 GB;128 GB;5000 mAh;720 x 1600 pixel;Tần số 60 Hz, 16.7 triệu màu, 260 ppi;Android 14 Go;60 Hz;GE8322;;
oppo find n3;26990000.0;7.82 inches;OLED;Camera chính: 48MP, f/1.7, OISCamera góc rộng: 48MP, f/2.2Camera Tele: 64MP, f/2.6;Màn hình chính: 20MP, f/2.2 Màn hình ngoài: 32MP, f/2.4;Snapdragon 8 Gen 2 8 nhân;16 GB;512 GB;4805 mAh;2268 x 2440 pixels;Màn hình chính: 7.82 inches, 2K+ (2268 x 2440 Pixels), OLED, 120Hz, 2800 nit, 1 tỷ màu, Kính UTGMàn hình phụ: 6.31 inches, FHD+ (1116 x 2484 Pixels), 120Hz, Kính siêu mỏng Nanocrystal;Android 13;120 Hz;Adreno 740;IPX4;
xiaomi redmi note 12;3790000.0;6.67 inches;AMOLED;Camera chính: 50MP, f/1.8  Camera góc rộng: 8MP, f/2.2  Camera Macro: 2MP, f/2.4;13MP, f/2.45;Qualcomm Snapdragon 685;4 GB;128 GB;5000mAh;1080 x 2400 pixels (FullHD+);Tần số quét 120Hz, độ sáng 1200nits   Corning® Gorilla® Glass 3;Android 13;;;;
oppo a3x;4210000.0;6.67 inches;LCD;8MP;;;;;;;;;;;;
oppo a6t;0.0;6.75 inches;LCD;13MP + QVGA, f/2.2 + f/3.0;5MP, f/2.2;Qualcomm Snapdragon 685;6 GB;256 GB;6100mAh;720 x 1570 pixels;Kính cường lực Panda, Độ sáng: 1125 nits, 16.7 triệu màu;ColorOS 15, nền tảng Android 15;;Adreno 610;IP64;15 W
sony xperia 10 vii;11690000.0;6.1 inches;FHD+ OLED;50MP (F1.9, 24mm, 84°) + 13MP (F2.4, 16mm, 123°);8MP (F2.0, 26mm, 78°);Snapdragon® 6 Thế hệ 3;8 GB;128 GB;5.000 mAh;1080 x 2340 pixels (FullHD+);Tần số quét 120Hz, cảm ứng 120Hz, DCI-P3 100%, Triluminous display, chuyển giữa nhiều cửa sổ;Android™ 15;;;;
nubia air;5490000.0;6.78 inches;AMOLED;50MP + 2M;20MP;Unisoc T8300;8 GB;256 GB;5000mAh;1224 x 2720 pixels;Độ phân giải: 2720 x 1224 pixelTần số: 120HzĐộ sáng tối đa: 450 nits;Android 15;120 Hz;Mali-G57 MP2;IP68, IP69;
oppo find n3 flip;13990000.0;6.8 inches;AMOLED;Camera chính: 50 MP, f/1.8, OIS  Camera góc rộng: 48 MP,  f/2.2 Tele: 32 MP,  f/2.0;32 MP, f/2.4, FOV 90°, ống kính 5P;;;;;;;;;;;
